"编号","日期","入睡时间","睡眠时长","睡眠质量（1-10）","单日步数/步","自行车骑行时长/min","体育锻炼记录","思考用脑时长/min","有无服用抗生素","是否排泄规律"
"abd0e973","2015-12-03","24点到1点","7h到8h","4","4680","20","无","600","0","1"
"abd0e973","2015-12-04","24点到1点","6h到7h","6","8067","30","瑜伽课一小时四十分钟","360","0","1"
"abd0e973","2015-12-05","2点以后","5h到6h","6","2662","0","无","300","0","1"
"abd0e973","2015-12-06","2点以后","小于5小时","6","4567","10","无","360","0","1"
"abd0e973","2015-12-07","24点到1点","7h到8h","6","9405","20","无","480","0","1"
"ad44c457","2015-12-01","23点到24点","6h到7h","7","3404","40","晚上8：00-8：30跑步","240","0","1"
"ad44c457","2015-12-02","23点到24点","7h到8h","8","7617","80","无","180","0","1"
"ad44c457","2015-12-03","23点到24点","6h到7h","5","8001","40","晚上：8：30-9：15跑步","300","0","1"
"ad44c457","2015-12-04","23点到24点","6h到7h","6","9018","60","下午2：00-3：30是体育课","240","0","1"
"ad44c457","2015-12-05","23点到24点","6h到7h","7","11000","0","到市中心参观了展览","240","0","1"
"ad44c457","2015-12-06","23点到24点","7h到8h","10","11800","80","下午骑车去了很多地方玩","300","0","1"
"ad44c457","2015-12-07","22点到23点","6h到7h","7","5143","50","无","300","0","1"
"adeefd79","2015-12-01","24点到1点","5h到6h","5","2500","30","乒乓球训练","134","0","1"
"adeefd79","2015-12-02","1点到2点","5h到6h","6","0","30","无","240","0","1"
"b0f7e89c","2015-12-01","23点到24点","7h到8h","7","0","30","上体育课","420","0","1"
"b0f7e89c","2015-12-02","23点到24点","7h到8h","6","0","30","无","420","0","0"
"b0f7e89c","2015-12-03","23点到24点","7h到8h","6","0","40","无","400","0","1"
"b0f7e89c","2015-12-04","23点到24点","7h到8h","8","0","25","无","400","0","1"
"b0f7e89c","2015-12-05","23点到24点","7h到8h","8","0","60","无","400","0","1"
"b0f7e89c","2015-12-06","23点到24点","7h到8h","7","0","40","无","400","0","1"
"b0f7e89c","2015-12-07","23点到24点","7h到8h","7","0","30","无","400","0","1"
"b15b9ea4","2015-12-01","24点到1点","6h到7h","7","13322","15","无","600","0","1"
"b15b9ea4","2015-12-02","24点到1点","5h到6h","7","15408","30","无","420","0","1"
"b15b9ea4","2015-12-03","24点到1点","5h到6h","8","18987","20","无","300","0","1"
"b15b9ea4","2015-12-04","24点到1点","7h到8h","5","13786","20","无","300","0","1"
"b15b9ea4","2015-12-05","1点到2点","7h到8h","8","1803","0","无","300","0","1"
"b15b9ea4","2015-12-06","1点到2点","7h到8h","8","16599","0","无","300","0","1"
"b15b9ea4","2015-12-07","24点到1点","5h到6h","8","14578","30","无","420","0","1"
"b345bbd5","2015-12-01","2点以后","5h到6h","7","7110","0","无","350","0","1"
"b345bbd5","2015-12-02","2点以后","5h到6h","7","12391","0","无","180","0","1"
"b345bbd5","2015-12-03","2点以后","6h到7h","7","5937","0","无","240","0","1"
"b345bbd5","2015-12-04","1点到2点","5h到6h","6","14541","0","无","360","0","1"
"b345bbd5","2015-12-05","1点到2点","小于5小时","5","10515","0","无","60","0","1"
"b345bbd5","2015-12-06","24点到1点","大于8小时","10","9066","0","无","60","0","1"
"b345bbd5","2015-12-07","1点到2点","6h到7h","7","9892","0","无","260","0","1"
"b3bc574c","2015-12-01","24点到1点","6h到7h","10","8023","60","五十米。立定跳远。","600","0","1"
"b3bc574c","2015-12-02","24点到1点","6h到7h","10","4150","40","无","800","0","1"
"b3bc574c","2015-12-03","24点到1点","6h到7h","10","4120","30","无","600","0","1"
"b3bc574c","2015-12-04","24点到1点","6h到7h","10","6190","30","散步","400","0","1"
"b3bc574c","2015-12-05","1点到2点","5h到6h","10","13490","20","步行","400","0","1"
"b3bc574c","2015-12-06","1点到2点","6h到7h","10","1811","20","无","600","0","1"
"b3bc574c","2015-12-07","1点到2点","6h到7h","10","2653","50","无","500","0","1"
"b68cd480","2015-12-01","23点到24点","6h到7h","9","5868","17","无特定的体育锻炼","1080","0","1"
"b68cd480","2015-12-02","1点到2点","5h到6h","8","6010","20","打篮球，时长约一个半小时","1080","0","1"
"b68cd480","2015-12-03","23点到24点","6h到7h","10","7432","20","无特别的体育锻炼","1080","0","1"
"b68cd480","2015-12-04","23点到24点","6h到7h","10","8284","20","无特别运动项目","1080","0","1"
"b68cd480","2015-12-05","23点到24点","6h到7h","10","17281","12","无特定的体育锻炼","1080","0","1"
"b68cd480","2015-12-06","23点到24点","7h到8h","10","3506","10","没有刻意的锻炼","1080","0","1"
"b68cd480","2015-12-07","23点到24点","7h到8h","10","4819","10","无特定的体育锻炼
","1080","0","1"
"b7f1c0fa","2015-12-01","24点到1点","6h到7h","5","0","30","无","420","0","1"
"b7f1c0fa","2015-12-02","24点到1点","6h到7h","4","0","45","无","10*60","0","1"
"b7f1c0fa","2015-12-03","23点到24点","7h到8h","4","0","30","无","60*8","0","1"
"b7f1c0fa","2015-12-04","2点以后","小于5小时","7","0","30","无","60*8","0","1"
"b7f1c0fa","2015-12-05","24点到1点","小于5小时","7","0","0","无","60*8","0","1"
"b7f1c0fa","2015-12-06","24点到1点","小于5小时","3","0","0","无","60*7","0","1"
"b7f1c0fa","2015-12-07","24点到1点","5h到6h","3","0","30","无","60*8","0","1"
"be3e2699","2015-12-01","1点到2点","7h到8h","8","0","30","无","480","0","0"
"be3e2699","2015-12-02","24点到1点","7h到8h","10","0","30","无","720","0","0"
"be3e2699","2015-12-03","2点以后","小于5小时","2","0","30","无","600","0","1"
"be3e2699","2015-12-04","24点到1点","大于8小时","8","0","45","无","600","0","0"
"be3e2699","2015-12-05","24点到1点","大于8小时","9","0","15","无","420","0","0"
"c2241b6f","2015-12-01","24点到1点","6h到7h","7","4235","40","无","480","0","1"
"c2241b6f","2015-12-02","23点到24点","6h到7h","10","1882","0","无","6","0","1"
"c2241b6f","2015-12-03","23点到24点","6h到7h","10","4225","30","引体向上10个","640","0","1"
"c2241b6f","2015-12-04","23点到24点","6h到7h","10","4211","40","无","640","0","1"
"c2241b6f","2015-12-05","1点到2点","6h到7h","8","4357","40","站立八小时","240","0","1"
"c2241b6f","2015-12-06","24点到1点","6h到7h","10","1522","0","无","420","0","1"
"c2241b6f","2015-12-07","23点到24点","7h到8h","10","6729","30","跑步500米","480","0","1"
"c48fc4ab","2015-12-01","23点到24点","大于8小时","9","10501","0","无","60","0","1"
"c48fc4ab","2015-12-02","2点以后","6h到7h","1","4166","0","无","120","0","1"
"c48fc4ab","2015-12-03","24点到1点","大于8小时","9","1456","0","无","120","0","1"
"c48fc4ab","2015-12-04","1点到2点","7h到8h","9","3248","0","无","120","0","1"
"c48fc4ab","2015-12-05","2点以后","6h到7h","8","800","0","无","60","0","0"
"c48fc4ab","2015-12-06","24点到1点","6h到7h","7","12058","0","无","120","0","1"
"c48fc4ab","2015-12-07","2点以后","5h到6h","7","15088","0","无","120","0","1"
"c6f33de4","2015-12-01","1点到2点","小于5小时","5","4098","40","骑车40min，走路4000步，卷腹30个","480","0","1"
"c6f33de4","2015-12-02","22点到23点","7h到8h","8","7095","50","跑步1200m，骑车50min，步行7095","320","0","1"
"c6f33de4","2015-12-03","22点到23点","6h到7h","7","5967","35","步行5967步，骑行35min","250","0","1"
"c6f33de4","2015-12-04","22点到23点","7h到8h","8","7093","20","无","90","0","1"
"c6f33de4","2015-12-05","2点以后","小于5小时","5","3029","60","无","500","0","1"
"c6f33de4","2015-12-06","23点到24点","5h到6h","6","6980","80","无","120","0","1"
"c6f33de4","2015-12-07","2点以后","小于5小时","4","4445","50","无","480","0","1"
"c94859c1","2015-12-01","24点到1点","6h到7h","6","12000","25","体育课定向越野 跑4圈，然后定向越野5公里 。俯卧撑仰卧起坐个30个","250","0","1"
"c94859c1","2015-12-02","22点以前","小于5小时","1","11900","35","练习武术50分钟","300","0","1"
"c94859c1","2015-12-03","24点到1点","6h到7h","1","5100","20","无","400","0","1"
"c94859c1","2015-12-04","24点到1点","6h到7h","9","11500","20","无","100","0","1"
"c94859c1","2015-12-05","24点到1点","7h到8h","7","23000","0","无","5","0","1"
"c94859c1","2015-12-06","1点到2点","6h到7h","7","22000","5","无","10","0","1"
"c94859c1","2015-12-07","24点到1点","6h到7h","8","7800","35","无","250","0","1"
"cbc6593b","2015-12-01","24点到1点","6h到7h","10","4000","30","无","360","0","1"
"cbc6593b","2015-12-02","24点到1点","6h到7h","10","8000","15","无","360","0","1"
"cbc6593b","2015-12-03","24点到1点","6h到7h","7","6654","20","1000m长跑，引体向上","360","0","1"
"cbc6593b","2015-12-04","24点到1点","5h到6h","10","5203","20","无","360","0","1"
"cbc6593b","2015-12-05","24点到1点","大于8小时","10","7513","0","无","420","0","1"
"cbc6593b","2015-12-06","1点到2点","大于8小时","10","1000","0","无","500","0","1"
"cbc6593b","2015-12-07","24点到1点","7h到8h","10","5600","20","无","360","0","1"
"d020035e","2015-12-01","23点到24点","6h到7h","10","5000","30","无","240","0","1"
"d020035e","2015-12-02","24点到1点","5h到6h","8","10007","10","无","240","0","0"
"d020035e","2015-12-03","23点到24点","6h到7h","9","7890","20","无","240","0","1"
"d020035e","2015-12-04","24点到1点","5h到6h","10","7000","30","无","180","0","1"
"d020035e","2015-12-05","24点到1点","6h到7h","10","12345","30","无","180","0","1"
"d020035e","2015-12-06","24点到1点","6h到7h","9","4000","0","无","244","0","1"
"d020035e","2015-12-07","24点到1点","6h到7h","9","5000","23","无","240","0","1"
"d2667219","2015-12-01","1点到2点","7h到8h","7","4495","0","无","300","1","1"
"d2667219","2015-12-02","1点到2点","7h到8h","7","5562","0","无","240","0","1"
"d2667219","2015-12-03","1点到2点","5h到6h","6","5546","0","0","360","0","1"
"d2667219","2015-12-04","24点到1点","6h到7h","7","15325","0","步行","300","0","1"
"d2667219","2015-12-05","22点以前","小于5小时","1","7203","0","无","120","0","0"
"d2667219","2015-12-06","23点到24点","7h到8h","7","4338","0","无","120","0","1"
"d2667219","2015-12-07","24点到1点","6h到7h","8","5526","0","无","420","0","1"
"d2667219","2015-12-08","1点到2点","7h到8h","6","3212","0","无","300","0","1"
"d38d4484","2015-12-01","24点到1点","6h到7h","5","0","40","今日无","450","0","1"
"d38d4484","2015-12-02","1点到2点","小于5小时","7","0","35","无","480","0","0"
"d38d4484","2015-12-03","24点到1点","6h到7h","5","0","60","无","200","0","1"
"d38d4484","2015-12-04","2点以后","小于5小时","5","0","40","体育课跳舞健身一小时四十分钟","420","0","1"
"d38d4484","2015-12-05","24点到1点","大于8小时","8","0","30","下午跑步半小时","200","0","1"
"d38d4484","2015-12-06","24点到1点","大于8小时","7","0","20","六点半左右开始跑了二十分钟步","120","0","1"
"d38d4484","2015-12-07","24点到1点","6h到7h","6","0","40","晚上六点半到九点半跳舞","200","0","1"
"d633f20e","2015-12-01","23点到24点","6h到7h","4","3952","25","无","240","0","0"
"d633f20e","2015-12-02","23点到24点","6h到7h","5","3422","16","无","300","0","0"
"d633f20e","2015-12-03","23点到24点","6h到7h","6","6238","25","引体向上，1000米跑，太极拳","240","0","0"
"d633f20e","2015-12-04","24点到1点","小于5小时","3","2933","15","无","240","0","0"
"d633f20e","2015-12-05","24点到1点","5h到6h","3","5244","0","无","120","0","0"
"d633f20e","2015-12-06","24点到1点","6h到7h","5","2261","0","无","120","0","0"
"d633f20e","2015-12-07","24点到1点","5h到6h","6","3420","38","无","240","0","0"
"d8070f49","2015-12-01","22点以前","小于5小时","1","8102","38","一小时瑜伽","180","0","1"
"d8070f49","2015-12-02","24点到1点","大于8小时","8","4561","15","无","150","0","1"
"d8070f49","2015-12-03","22点以前","6h到7h","9","5781","36","无","280","0","1"
"d8070f49","2015-12-04","24点到1点","7h到8h","9","7186","24","无","320","0","1"
"d8070f49","2015-12-05","24点到1点","7h到8h","8","6714","26","无","280","0","1"
"d8070f49","2015-12-06","24点到1点","6h到7h","8","8142","22","打乒乓球2小时","60","0","1"
"d8070f49","2015-12-07","24点到1点","6h到7h","7","9976","31","无","380","0","1"
"d8e48d61","2015-12-01","23点到24点","大于8小时","9","0","30","无","180","0","1"
"d8e48d61","2015-12-02","23点到24点","大于8小时","10","0","0","无","120","0","1"
"d8e48d61","2015-12-03","23点到24点","7h到8h","8","0","30","无","100","0","1"
"d8e48d61","2015-12-04","23点到24点","7h到8h","8","0","40","无","200","0","1"
"d8e48d61","2015-12-05","23点到24点","大于8小时","9","0","30","无","180","0","1"
"d8e48d61","2015-12-06","23点到24点","大于8小时","9","0","40","打球","300","0","1"
"d8e48d61","2015-12-07","24点到1点","7h到8h","8","0","30","无","180","0","1"
"da1ff971","2015-12-01","24点到1点","5h到6h","7","0","40","无","420","0","1"
"da1ff971","2015-12-02","24点到1点","6h到7h","9","0","45","无","480","0","1"
"da1ff971","2015-12-03","24点到1点","5h到6h","7","0","30","无","420","0","1"
"da1ff971","2015-12-04","24点到1点","7h到8h","8","0","10","体育课 手球 60分钟","420","0","1"
"da1ff971","2015-12-05","23点到24点","大于8小时","9","0","0","无","300","0","1"
"da1ff971","2015-12-06","23点到24点","大于8小时","9","0","0","无","300","0","1"
"da1ff971","2015-12-07","24点到1点","6h到7h","7","0","50","无","420","0","1"
"dad1da90","2015-12-01","24点到1点","7h到8h","8","2100","0","无","480","0","1"
"dad1da90","2015-12-02","24点到1点","7h到8h","9","2000","0","无","480","0","1"
"dad1da90","2015-12-03","24点到1点","7h到8h","7","2101","0","无","480","0","1"
"dad1da90","2015-12-04","24点到1点","7h到8h","8","2030","0","1600米慢跑","480","0","0"
"dad1da90","2015-12-05","24点到1点","7h到8h","9","2302","0","0","480","0","1"
"dad1da90","2015-12-06","24点到1点","7h到8h","9","3021","0","无","480","0","1"
"dad1da90","2015-12-07","24点到1点","7h到8h","9","1245","0","无","480","0","1"
"dd0c5b7b","2015-12-01","2点以后","大于8小时","6","200","20","無","720","0","1"
"dd0c5b7b","2015-12-02","1点到2点","7h到8h","7","1000","30","No","720","0","1"
"dd0c5b7b","2015-12-03","1点到2点","7h到8h","7","200","30","無","720","0","1"
"dd0c5b7b","2015-12-04","24点到1点","6h到7h","7","12000","30","狂走路","500","0","1"
"dd0c5b7b","2015-12-05","2点以后","6h到7h","4","1000","0","無","800","0","1"
"dd0c5b7b","2015-12-06","24点到1点","7h到8h","5","1000","30","無","500","0","1"
"dd0c5b7b","2015-12-07","1点到2点","6h到7h","8","500","20","Nope","800","0","0"
"dd0c5b7b","2015-12-08","1点到2点","7h到8h","4","500","30","nope","800","0","1"
"e02d9424","2015-12-01","23点到24点","6h到7h","7","4000","25","无","360","0","0"
"e02d9424","2015-12-02","23点到24点","5h到6h","7","3400","18","30min哑铃","360","0","0"
"e02d9424","2015-12-03","23点到24点","6h到7h","8","3600","15","无","360","0","0"
"e02d9424","2015-12-04","22点以前","小于5小时","8","5600","25","体育课足球","300","0","0"
"e02d9424","2015-12-05","23点到24点","7h到8h","8","3000","0","无","360","0","0"
"e02d9424","2015-12-06","23点到24点","6h到7h","9","300","0","无","360","0","0"
"e02d9424","2015-12-07","23点到24点","6h到7h","7","3400","25","无","420","0","0"
"e057024e","2015-12-01","24点到1点","6h到7h","8","20000","60","10-12网球，2-4体育课定向越野，4-6网球","240","0","1"
"e057024e","2015-12-02","24点到1点","6h到7h","8","15000","40","2.30-5.20网球","200","0","1"
"e057024e","2015-12-03","24点到1点","6h到7h","8","12000","60","无","180","0","1"
"e057024e","2015-12-04","23点到24点","7h到8h","9","20000","40","10-12.30网球","248","0","1"
"e057024e","2015-12-05","23点到24点","7h到8h","9","8000","60","无","200","0","1"
"e057024e","2015-12-06","23点到24点","7h到8h","8","12000","60","无","200","0","1"
"e057024e","2015-12-07","24点到1点","6h到7h","7","15000","40","1.30-4.30网球","180","0","1"
"e0d52a75","2015-12-01","24点到1点","6h到7h","6","8149","30","慢跑400米","410","0","1"
"e0d52a75","2015-12-02","1点到2点","5h到6h","6","0","40","无","500","0","1"
"e0d52a75","2015-12-03","24点到1点","6h到7h","8","0","30","无","400","0","1"
"e0d52a75","2015-12-04","2点以后","7h到8h","6","0","0","无","200","0","1"
"e0d52a75","2015-12-05","24点到1点","6h到7h","7","0","0","无","50","0","1"
"e0d52a75","2015-12-06","22点以前","大于8小时","9","0","0","无","200","0","0"
"e0d52a75","2015-12-07","22点以前","大于8小时","8","0","0","无","200","0","0"
"e2512753","2015-12-01","24点到1点","6h到7h","9","7476","0","无","840","0","1"
"e2512753","2015-12-02","24点到1点","6h到7h","8","12927","0","无","840","0","1"
"e2512753","2015-12-03","24点到1点","6h到7h","8","9034","0","无","840","0","1"
"e2512753","2015-12-04","24点到1点","大于8小时","9","0","0","无","480","0","1"
"e2512753","2015-12-05","22点以前","大于8小时","9","0","0","无","640","0","1"
"e2512753","2015-12-06","23点到24点","大于8小时","10","0","0","无","600","0","1"
"e2512753","2015-12-07","1点到2点","6h到7h","8","5762","0","无","840","0","1"
"e2b8265b","2015-12-01","24点到1点","6h到7h","7","8000","20","无","360","0","1"
"e2b8265b","2015-12-02","24点到1点","6h到7h","7","7889","0","无","250","0","1"
"e2b8265b","2015-12-03","24点到1点","6h到7h","8","5000","10","无","420","0","1"
"e2b8265b","2015-12-04","23点到24点","7h到8h","10","5000","20","街舞","400","0","1"
"e2b8265b","2015-12-05","24点到1点","大于8小时","9","4000","0","无","280","0","1"
"e2b8265b","2015-12-06","24点到1点","7h到8h","5","4000","0","无","200","0","1"
"e2b8265b","2015-12-07","24点到1点","6h到7h","7","14000","15","无","400","0","1"
"e399dae3","2015-12-01","24点到1点","7h到8h","9","1000","30","健身1.5h","480","1","0"
"e399dae3","2015-12-02","24点到1点","7h到8h","10","2000","30","无","500","0","1"
"e399dae3","2015-12-03","24点到1点","7h到8h","9","2000","30","健身1.5h","500","0","1"
"e538ecca","2015-12-01","1点到2点","7h到8h","8","0","30","无","600","0","1"
"e538ecca","2015-12-02","1点到2点","6h到7h","7","0","40","无","540","0","0"
"e538ecca","2015-12-03","1点到2点","大于8小时","6","0","10","无","150","0","1"
"e538ecca","2015-12-04","1点到2点","7h到8h","8","0","30","无","240","0","1"
"e538ecca","2015-12-05","24点到1点","大于8小时","6","0","0","无","360","0","0"
"e538ecca","2015-12-06","24点到1点","大于8小时","5","0","0","无","120","0","1"
"e538ecca","2015-12-07","24点到1点","大于8小时","5","0","40","羽毛球","360","0","0"
"e71f2c7a","2015-12-01","24点到1点","7h到8h","8","3011","25","无","600","0","1"
"e71f2c7a","2015-12-02","24点到1点","大于8小时","8","3508","30","无","300","0","1"
"e71f2c7a","2015-12-03","24点到1点","7h到8h","8","4700","35","体育课90min","500","0","1"
"e71f2c7a","2015-12-04","24点到1点","6h到7h","8","3602","30","无","379","0","1"
"e71f2c7a","2015-12-05","1点到2点","7h到8h","7","4892","0","无","100","0","0"
"e71f2c7a","2015-12-06","24点到1点","7h到8h","9","3495","10","无","600","0","1"
"e71f2c7a","2015-12-07","24点到1点","7h到8h","7","3476","25","无","600","0","1"
"e8f857f6","2015-12-01","1点到2点","7h到8h","6","5620","0","无","540","0","1"
"e8f857f6","2015-12-02","2点以后","6h到7h","8","2470","0","无","540","0","1"
"e8f857f6","2015-12-03","1点到2点","5h到6h","8","5231","0","无","540","0","1"
"e8f857f6","2015-12-04","2点以后","7h到8h","7","12014","0","无","540","0","1"
"e8f857f6","2015-12-05","2点以后","7h到8h","9","820","0","无","430","0","1"
"e8f857f6","2015-12-06","2点以后","6h到7h","10","3146","0","无","430","0","1"
"e8f857f6","2015-12-07","24点到1点","7h到8h","6","6311","0","无","540","0","1"
"ebdfc581","2015-12-01","24点到1点","6h到7h","8","3000","30","暂无","240","0","1"
"ebdfc581","2015-12-02","24点到1点","小于5小时","7","2000","30","暂无","240","0","1"
"ebdfc581","2015-12-03","23点到24点","6h到7h","8","1000","25","暂无","200","0","1"
"ebdfc581","2015-12-04","24点到1点","5h到6h","9","4000","40","打篮球2小时","200","0","1"
"ebdfc581","2015-12-05","23点到24点","7h到8h","9","10000","40","羽毛球2小时","180","0","1"
"ebdfc581","2015-12-06","23点到24点","7h到8h","9","4000","40","暂无","400","0","1"
"ebdfc581","2015-12-07","1点到2点","5h到6h","9","5000","40","暂无","240","0","1"
"ed6b9fa7","2015-12-01","24点到1点","6h到7h","7","15000","30","晚上跑步3500米","600","0","1"
"ed6b9fa7","2015-12-02","24点到1点","6h到7h","7","10055","30","晚上跑步2000米","600","0","1"
"ed6b9fa7","2015-12-03","24点到1点","6h到7h","6","7200","30","无","700","0","1"
"ed6b9fa7","2015-12-04","24点到1点","7h到8h","9","10000","30","2000米，一场足球赛，一场橄榄球赛，60俯卧撑，60仰卧起坐","600","0","1"
"ed6b9fa7","2015-12-05","24点到1点","6h到7h","7","8000","15","无","800","0","1"
"ed6b9fa7","2015-12-06","24点到1点","7h到8h","9","7250","15","游泳，约600米；
骑车子带人，约15分钟；","400","0","1"
"ed6b9fa7","2015-12-07","24点到1点","6h到7h","8","6349","30","无","600","0","1"
"eedc5f7e","2015-12-01","22点以前","6h到7h","7","4867","46","无锻炼","600","0","1"
"eedc5f7e","2015-12-02","23点到24点","6h到7h","9","5257","32","无锻炼","300","0","1"
"eedc5f7e","2015-12-03","1点到2点","小于5小时","8","7959","35","无","600","0","1"
"eedc5f7e","2015-12-04","24点到1点","5h到6h","8","6549","44","无","360","0","1"
"eedc5f7e","2015-12-05","24点到1点","小于5小时","1","4623","30","无","300","0","1"
"eedc5f7e","2015-12-06","23点到24点","5h到6h","7","5964","30","无","300","0","1"
"eedc5f7e","2015-12-07","23点到24点","5h到6h","8","6676","30","无","360","0","1"
"eedc5f7e","2015-12-08","23点到24点","6h到7h","8","3498","40","无","360","0","0"
"f0885546","2015-12-01","23点到24点","6h到7h","9","1000","30","无","420","0","0"
"f0885546","2015-12-02","24点到1点","6h到7h","9","789","20","无","480","0","0"
"f0885546","2015-12-03","23点到24点","6h到7h","8","896","30","无","420","0","0"
"f28c5d8c","2015-12-01","24点到1点","6h到7h","10","6000","60","无","600","0","1"
"f28c5d8c","2015-12-02","24点到1点","6h到7h","10","6500","10","无","500","0","1"
"f6f3c2e9","2015-12-01","24点到1点","6h到7h","8","0","40","无","420","0","1"
"f6f3c2e9","2015-12-02","24点到1点","6h到7h","7","5084","10","无","3600","0","1"
"f6f3c2e9","2015-12-03","24点到1点","6h到7h","7","0","40","无","300","0","0"
"f6f3c2e9","2015-12-04","22点到23点","大于8小时","9","0","40","无","300","0","1"
"f6f3c2e9","2015-12-05","24点到1点","大于8小时","9","0","0","无","180","0","0"
"f6f3c2e9","2015-12-06","24点到1点","大于8小时","8","0","0","无","300","0","1"
"f6f3c2e9","2015-12-07","24点到1点","大于8小时","7","4000","25","无","360","0","1"
"f7e401df","2015-12-01","24点到1点","7h到8h","8","7797","0","绕学校跑一圈5.5km","180","0","1"
"f7e401df","2015-12-02","23点到24点","7h到8h","5","14091","0","无","180","0","1"
"f7e401df","2015-12-03","23点到24点","7h到8h","3","9071","0","无","180","0","1"
"f7e401df","2015-12-04","23点到24点","7h到8h","7","7062","0","0","180","0","1"
"f7e401df","2015-12-05","24点到1点","6h到7h","7","2236","0","0","60","0","1"
"f7e401df","2015-12-06","24点到1点","7h到8h","6","7062","0","0","60","0","0"
"f7e401df","2015-12-07","24点到1点","7h到8h","9","8365","0","0","30","0","1"
"f80a9e56","2015-12-01","1点到2点","7h到8h","10","11954","0","无","500","0","1"
"f80a9e56","2015-12-02","24点到1点","5h到6h","7","8465","0","无","240","0","0"
"f80a9e56","2015-12-03","24点到1点","6h到7h","8","6379","0","十一点到十二点打篮球","360","0","1"
"f80a9e56","2015-12-04","1点到2点","大于8小时","10","11425","10","打了一小时网球","450","0","1"
"f80a9e56","2015-12-05","2点以后","6h到7h","9","1671","0","无","360","0","1"
"f80a9e56","2015-12-06","24点到1点","5h到6h","9","12056","0","无","60","0","1"
"f80a9e56","2015-12-07","24点到1点","6h到7h","9","14228","0","无","240","0","0"
"fbea1752","2015-12-01","1点到2点","6h到7h","6","0","30","22:00-23:00 跑步 约1800米
仰卧起坐 50个
散步 20min","240","0","1"
"fbea1752","2015-12-02","2点以后","小于5小时","5","0","25","22:30 -23:30 散步","300","0","1"
"fbea1752","2015-12-03","24点到1点","5h到6h","6","0","25","22：30 跑步 南体 800米
仰卧起坐 50个","300","0","1"
"fbea1752","2015-12-04","24点到1点","6h到7h","6","0","25","22：00-22：30 新图跑道 2000米","240","0","1"
"fbea1752","2015-12-05","24点到1点","5h到6h","6","0","35","下雨啦 就不锻炼了","120","0","1"
"fbea1752","2015-12-06","23点到24点","6h到7h","6","0","40","22:00-22:30 练网球
23：30 五十个仰卧起坐","250","0","1"
"fbea1752","2015-12-07","23点到24点","6h到7h","6","0","30","22:00 -22:40 网球","300","0","1"
"fbea1752","2015-12-08","23点到24点","6h到7h","6","0","30","22:00-22:40南体1000米 50个仰卧起坐","300","0","1"
"fcb4fcb4","2015-12-01","1点到2点","6h到7h","7","6000","25","并没有","360","0","1"
"fcb4fcb4","2015-12-02","1点到2点","7h到8h","8","4303","40","还是没有","360","0","1"
"fcb4fcb4","2015-12-03","1点到2点","7h到8h","6","4500","40","无","480","0","1"
"fcb4fcb4","2015-12-04","24点到1点","7h到8h","8","5920","30","没有！","300","0","1"
"fcb4fcb4","2015-12-05","1点到2点","大于8小时","8","5036","0","ˊ_>ˋ","120","0","1"
"fcb4fcb4","2015-12-06","24点到1点","大于8小时","8","6847","20","无","120","0","1"
"fcb4fcb4","2015-12-07","2点以后","6h到7h","6","6555","0","无","360","0","1"
"fe578f44","2015-12-01","23点到24点","7h到8h","9","0","20","跑步八百米","400左右","0","1"
"fe578f44","2015-12-02","23点到24点","7h到8h","5","0","15","无（今天感冒了）","300","0","0"
"fe578f44","2015-12-03","23点到24点","6h到7h","9","0","10","跑步八百米
引体向上","350","0","1"
"fe578f44","2015-12-04","22点到23点","7h到8h","9","0","25","体育课练武术。","397","0","1"
"fe578f44","2015-12-05","24点到1点","7h到8h","10","0","15","无","300","0","1"
"fe578f44","2015-12-06","1点到2点","5h到6h","5","0","5","无","240","0","0"
"fe578f44","2015-12-07","22点到23点","7h到8h","9","0","25","无","397","0","1"
